POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Rajat Patidar,112,49,207.4,12,7,LSG,Eden Gardens,25 May 2022
2,K L Rahul,103,56,171.66,9,5,MI,Brabourne - CCI,16 April 2022
3,Jos Buttler,116,57,178.46,9,9,DC,Wankhede Stadium,22 April 2022
4,Quinton De Kock,140,59,200,10,10,KKR,DY Patil Stadium,18 May 2022
5,Jos Buttler,106,59,176.66,10,6,RCB,Narendra Modi Stadium,27 May 2022
6,Jos Buttler,103,59,168.85,9,5,KKR,Brabourne - CCI,18 April 2022
7,K L Rahul,103,61,166.12,12,4,MI,Wankhede Stadium,24 April 2022
8,Jos Buttler,100,66,147.05,11,5,MI,DY Patil Stadium,02 April 2022
