POS,Player,Ov,Runs,Wkts,Dots,SR,Against,Venue,Match Date
102,Shreyas Iyer,1,7,0,4,0,DC,Wankhede Stadium,28 April 2022
103,Marcus Stoinis,2,23,3,4,4,KKR,DY Patil Stadium,18 May 2022
104,Kamlesh Nagarkoti,2,29,0,4,0,MI,Brabourne - CCI,27 March 2022
105,Darshan Nalkande,3,37,2,4,9,PBKS,Brabourne - CCI,08 April 2022
106,Nathan Coulter-Nile,3,48,0,4,0,SRH,Maharashtra Cricket Association Stadium,29 March 2022
107,Ayush Badoni,1,5,1,3,6,RR,Brabourne - CCI,15 May 2022
108,Tilak Varma,1,6,0,3,0,KKR,Maharashtra Cricket Association Stadium,06 April 2022
109,Rahul Tewatia,2,22,0,3,0,DC,Maharashtra Cricket Association Stadium,02 April 2022
110,Deepak Hooda,3,31,1,3,18,GT,Wankhede Stadium,28 March 2022
111,Aiden Markram,3,36,0,3,0,CSK,Maharashtra Cricket Association Stadium,01 May 2022
112,Vijay Shankar,0.3,1,0,2,0,RR,DY Patil Stadium,14 April 2022
113,Mahipal Lomror,1,7,0,2,0,SRH,Wankhede Stadium,08 May 2022
114,Venkatesh Iyer,1,10,0,2,0,RCB,DY Patil Stadium,30 March 2022
115,Riyan Parag,1,12,1,2,6,GT,DY Patil Stadium,14 April 2022
116,Abhishek Sharma,2,13,0,2,0,RCB,Wankhede Stadium,08 May 2022
117,Dewald Brevis,0.3,8,1,1,3,RCB,Maharashtra Cricket Association Stadium,09 April 2022
118,Daryl Mitchell,1,7,0,1,0,RCB,Maharashtra Cricket Association Stadium,26 April 2022
119,Abdul Samad,1,8,0,1,0,LSG,DY Patil Stadium,04 April 2022
120,Shashank Singh,1,10,0,1,0,KKR,Brabourne - CCI,15 April 2022
121,Shivam Dube,1,11,0,1,0,KKR,Wankhede Stadium,26 March 2022
122,Aman Khan,1,13,0,1,0,SRH,Brabourne - CCI,15 April 2022
123,Nitish Rana,1,14,0,1,0,DC,Wankhede Stadium,28 April 2022
124,Yashasvi Jaiswal,0.1,6,0,0,0,RCB,Wankhede Stadium,05 April 2022
125,Rovman Powell,1,17,0,0,0,KKR,Brabourne - CCI,10 April 2022
