POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
319,Ravindra Jadeja,21,16,131.25,1,1,PBKS,Wankhede Stadium,25 April 2022
320,Prithvi Shaw,24,23,104.34,2,1,MI,Wankhede Stadium,21 May 2022
321,Prithvi Shaw,41,20,205,7,1,PBKS,Brabourne - CCI,20 April 2022
322,Prithvi Shaw,16,13,123.07,1,1,RCB,Wankhede Stadium,16 April 2022
323,Prithvi Shaw,37,27,137.03,5,1,RR,Wankhede Stadium,22 April 2022
324,Hardik Pandya,33,28,117.85,5,1,LSG,Wankhede Stadium,28 March 2022
325,Hardik Pandya,50,42,119.04,4,1,SRH,DY Patil Stadium,11 April 2022
326,Hardik Pandya,34,30,113.33,3,1,RR,Narendra Modi Stadium,29 May 2022
327,MS Dhoni,28,13,215.38,3,1,MI,DY Patil Stadium,21 April 2022
328,MS Dhoni,23,28,82.14,1,1,PBKS,Brabourne - CCI,03 April 2022
329,MS Dhoni,26,28,92.85,1,1,RR,Brabourne - CCI,20 May 2022
330,MS Dhoni,12,8,150,1,1,PBKS,Wankhede Stadium,25 April 2022
331,MS Dhoni,16,6,266.66,2,1,LSG,Brabourne - CCI,31 March 2022
332,MS Dhoni,50,38,131.57,7,1,KKR,Wankhede Stadium,26 March 2022
333,Ambati Rayudu,10,8,125,0,1,RCB,Maharashtra Cricket Association Stadium,04 May 2022
334,Ambati Rayudu,15,17,88.23,1,1,KKR,Wankhede Stadium,26 March 2022
335,Shubman Gill,96,59,162.71,11,1,PBKS,Brabourne - CCI,08 April 2022
336,Shubman Gill,22,24,91.66,1,1,SRH,Wankhede Stadium,27 April 2022
337,Shubman Gill,35,21,166.66,5,1,RR,Eden Gardens,24 May 2022
338,Shubman Gill,31,28,110.71,3,1,RCB,Brabourne - CCI,30 April 2022
339,Shubman Gill,45,43,104.65,3,1,RR,Narendra Modi Stadium,29 May 2022
340,Kane Williamson,16,16,100,1,1,LSG,DY Patil Stadium,04 April 2022
341,Kane Williamson,32,40,80,2,1,CSK,DY Patil Stadium,09 April 2022
342,Trent Boult,11,7,157.14,0,1,GT,Narendra Modi Stadium,29 May 2022
343,Dwayne Bravo,12,15,80,0,1,MI,Wankhede Stadium,12 May 2022
344,Faf Du Plessis,38,22,172.72,4,1,CSK,Maharashtra Cricket Association Stadium,04 May 2022
345,Faf Du Plessis,23,21,109.52,3,1,RR,Maharashtra Cricket Association Stadium,26 April 2022
346,Jagadeesan Narayan,39,33,118.18,3,1,GT,Wankhede Stadium,15 May 2022
347,Ruturaj Gaikwad,41,33,124.24,4,1,DC,DY Patil Stadium,08 May 2022
348,Ruturaj Gaikwad,53,49,108.16,4,1,GT,Wankhede Stadium,15 May 2022
349,Ruturaj Gaikwad,28,23,121.73,3,1,RCB,Maharashtra Cricket Association Stadium,04 May 2022
350,Sam Billings,34,29,117.24,3,1,SRH,Maharashtra Cricket Association Stadium,14 May 2022
351,Sam Billings,24,23,104.34,1,1,PBKS,Wankhede Stadium,01 April 2022
352,Sam Billings,15,9,166.66,1,1,DC,Brabourne - CCI,10 April 2022
353,Sam Billings,14,15,93.33,0,1,RCB,DY Patil Stadium,30 March 2022
354,Sam Billings,25,22,113.63,1,1,CSK,Wankhede Stadium,26 March 2022
355,Shardul Thakur,24,19,126.31,2,1,CSK,DY Patil Stadium,08 May 2022
356,Shardul Thakur,10,7,142.85,0,1,RR,Wankhede Stadium,22 April 2022
357,Avesh Khan,7,2,350,0,1,RR,Wankhede Stadium,10 April 2022
358,Axar Patel,22,14,157.14,2,1,KKR,Brabourne - CCI,10 April 2022
359,Axar Patel,24,17,141.17,2,1,KKR,Wankhede Stadium,28 April 2022
360,Harshal Patel,8,11,72.72,0,1,RR,Maharashtra Cricket Association Stadium,26 April 2022
361,Harshal Patel,9,4,225,0,1,RR,Wankhede Stadium,05 April 2022
362,Kagiso Rabada,25,16,156.25,4,1,KKR,Wankhede Stadium,01 April 2022
363,Kagiso Rabada,6,2,300,0,1,DC,DY Patil Stadium,16 May 2022
364,Rahul Tewatia,14,8,175,1,1,DC,Maharashtra Cricket Association Stadium,02 April 2022
365,Sherfane Rutherford,28,40,70,1,1,KKR,DY Patil Stadium,30 March 2022
366,David Miller,19,14,135.71,1,1,MI,Brabourne - CCI,06 May 2022
367,David Miller,31,14,221.42,5,1,RR,DY Patil Stadium,14 April 2022
368,David Miller,32,19,168.42,3,1,RR,Narendra Modi Stadium,29 May 2022
369,David Miller,26,24,108.33,1,1,LSG,Maharashtra Cricket Association Stadium,10 May 2022
370,David Miller,39,24,162.5,4,1,RCB,Brabourne - CCI,30 April 2022
371,Harpreet Brar,14,18,77.77,1,1,KKR,Wankhede Stadium,01 April 2022
372,Harpreet Brar,7,5,140,0,1,RCB,Brabourne - CCI,13 May 2022
373,Murugan Ashwin,6,2,300,0,1,LSG,Brabourne - CCI,16 April 2022
374,Nicholas Pooran,19,14,135.71,2,1,RCB,Wankhede Stadium,08 May 2022
375,Nicholas Pooran,35,30,116.66,1,1,PBKS,DY Patil Stadium,17 April 2022
376,Sarfaraz Khan,32,16,200,5,1,PBKS,DY Patil Stadium,16 May 2022
377,Sarfaraz Khan,10,7,142.85,0,1,MI,Wankhede Stadium,21 May 2022
378,Andre Russell,9,5,180,0,1,MI,DY Patil Stadium,09 May 2022
379,Andre Russell,11,5,220,1,1,MI,Maharashtra Cricket Association Stadium,06 April 2022
380,Nitish Rana,10,5,200,1,1,RCB,DY Patil Stadium,30 March 2022
381,Nitish Rana,8,7,114.28,0,1,MI,Maharashtra Cricket Association Stadium,06 April 2022
382,Nitish Rana,18,11,163.63,1,1,RR,Brabourne - CCI,18 April 2022
383,Nitish Rana,21,17,123.52,2,1,CSK,Wankhede Stadium,26 March 2022
384,Rinku Singh,35,28,125,4,1,GT,DY Patil Stadium,23 April 2022
385,Rinku Singh,42,23,182.6,6,1,RR,Wankhede Stadium,02 May 2022
386,Rinku Singh,23,19,121.05,2,1,MI,DY Patil Stadium,09 May 2022
387,Robin Uthappa,50,27,185.18,8,1,LSG,Brabourne - CCI,31 March 2022
388,Sunil Narine,6,2,300,0,1,SRH,Brabourne - CCI,15 April 2022
389,Sunil Narine,22,12,183.33,3,1,LSG,Maharashtra Cricket Association Stadium,07 May 2022
390,Sunil Narine,12,8,150,1,1,RCB,DY Patil Stadium,30 March 2022
391,Ishan Kishan,51,43,118.6,5,1,KKR,DY Patil Stadium,09 May 2022
392,Ishan Kishan,45,29,155.17,5,1,GT,Brabourne - CCI,06 May 2022
393,Ishan Kishan,54,43,125.58,5,1,RR,DY Patil Stadium,02 April 2022
394,Ishan Kishan,43,34,126.47,5,1,SRH,Wankhede Stadium,17 May 2022
395,Ishan Kishan,26,18,144.44,4,1,RR,DY Patil Stadium,30 April 2022
396,Kieron Pollard,14,9,155.55,1,1,CSK,DY Patil Stadium,21 April 2022
397,Kieron Pollard,15,16,93.75,0,1,KKR,DY Patil Stadium,09 May 2022
398,Kieron Pollard,22,24,91.66,3,1,RR,DY Patil Stadium,02 April 2022
399,Kieron Pollard,19,20,95,0,1,LSG,Wankhede Stadium,24 April 2022
400,Quinton De Kock,39,32,121.87,2,1,RR,Wankhede Stadium,10 April 2022
401,Quinton De Kock,11,10,110,0,1,GT,Maharashtra Cricket Association Stadium,10 May 2022
402,Quinton De Kock,10,9,111.11,0,1,MI,Wankhede Stadium,24 April 2022
403,Quinton De Kock,24,13,184.61,4,1,MI,Brabourne - CCI,16 April 2022
404,Quinton De Kock,6,5,120,0,1,RCB,Eden Gardens,25 May 2022
405,Quinton De Kock,23,13,176.92,3,1,DC,Wankhede Stadium,01 May 2022
406,Rahul Chahar,22,14,157.14,2,1,GT,Brabourne - CCI,08 April 2022
407,Rahul Chahar,12,8,150,1,1,CSK,Brabourne - CCI,03 April 2022
408,Rahul Chahar,12,12,100,1,1,DC,Brabourne - CCI,20 April 2022
409,Rahul Chahar,25,24,104.16,2,1,DC,DY Patil Stadium,16 May 2022
410,Suryakumar Yadav,13,11,118.18,0,1,GT,Brabourne - CCI,06 May 2022
411,Suryakumar Yadav,32,21,152.38,3,1,CSK,DY Patil Stadium,21 April 2022
412,Jaydev Unadkat,14,6,233.33,2,1,LSG,Brabourne - CCI,16 April 2022
413,Jaydev Unadkat,19,9,211.11,1,1,CSK,DY Patil Stadium,21 April 2022
414,Jaydev Unadkat,12,7,171.42,0,1,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
415,Jos Buttler,13,11,118.18,1,1,LSG,Wankhede Stadium,10 April 2022
416,Jos Buttler,30,16,187.5,5,1,PBKS,Wankhede Stadium,07 May 2022
417,Liam Livingstone,19,16,118.75,1,1,KKR,Wankhede Stadium,01 April 2022
418,Mahipal Lomror,16,8,200,2,1,GT,Brabourne - CCI,30 April 2022
419,Mahipal Lomror,6,3,200,0,1,PBKS,Brabourne - CCI,13 May 2022
420,Rahul Tripathi,44,30,146.66,5,1,LSG,DY Patil Stadium,04 April 2022
421,Rahul Tripathi,7,3,233.33,0,1,RCB,Brabourne - CCI,23 April 2022
422,Rahul Tripathi,34,22,154.54,4,1,PBKS,DY Patil Stadium,17 April 2022
423,Rahul Tripathi,17,11,154.54,1,1,GT,DY Patil Stadium,11 April 2022
424,Rahul Tripathi,22,18,122.22,2,1,DC,Brabourne - CCI,05 May 2022
425,Rahul Tripathi,16,10,160,2,1,GT,Wankhede Stadium,27 April 2022
426,Rahul Tripathi,20,18,111.11,1,1,PBKS,Wankhede Stadium,22 May 2022
427,Riyan Parag,8,4,200,0,1,LSG,Wankhede Stadium,10 April 2022
428,Riyan Parag,9,5,180,0,1,DC,DY Patil Stadium,11 May 2022
429,Riyan Parag,18,16,112.5,1,1,GT,DY Patil Stadium,14 April 2022
430,Riyan Parag,19,16,118.75,0,1,LSG,Brabourne - CCI,15 May 2022
431,Sanju Samson,11,11,100,0,1,GT,DY Patil Stadium,14 April 2022
432,Sanju Samson,8,8,100,0,1,RCB,Wankhede Stadium,05 April 2022
433,Sanju Samson,54,49,110.2,7,1,KKR,Wankhede Stadium,02 May 2022
434,Shashank Singh,8,9,88.88,0,1,RCB,Wankhede Stadium,08 May 2022
435,Devdutt Padikkal,24,18,133.33,3,1,KKR,Brabourne - CCI,18 April 2022
436,Devdutt Padikkal,7,7,100,0,1,RCB,Maharashtra Cricket Association Stadium,26 April 2022
437,Shimron Hetmyer,29,17,170.58,2,1,GT,DY Patil Stadium,14 April 2022
438,Shivam Dube,13,14,92.85,0,1,MI,DY Patil Stadium,21 April 2022
439,Abhishek Sharma,31,25,124,3,1,PBKS,DY Patil Stadium,17 April 2022
440,Abhishek Sharma,39,24,162.5,5,1,CSK,Maharashtra Cricket Association Stadium,01 May 2022
441,Abhishek Sharma,47,28,167.85,8,1,RCB,Brabourne - CCI,23 April 2022
442,David Warner,28,14,200,5,1,RR,Wankhede Stadium,22 April 2022
443,David Warner,52,41,126.82,5,1,RR,DY Patil Stadium,11 May 2022
444,David Warner,60,30,200,10,1,PBKS,Brabourne - CCI,20 April 2022
445,Deepak Hooda,13,8,162.5,1,1,CSK,Brabourne - CCI,31 March 2022
446,Deepak Hooda,15,8,187.5,1,1,MI,Brabourne - CCI,16 April 2022
447,Deepak Hooda,52,34,152.94,6,1,DC,Wankhede Stadium,01 May 2022
448,Jonny Bairstow,28,15,186.66,4,1,DC,DY Patil Stadium,16 May 2022
449,Jonny Bairstow,56,40,140,8,1,RR,Wankhede Stadium,07 May 2022
450,Wriddhiman Saha,31,22,140.9,4,1,RCB,Wankhede Stadium,19 May 2022
451,Wriddhiman Saha,25,25,100,2,1,KKR,DY Patil Stadium,23 April 2022
452,Wriddhiman Saha,21,17,123.52,3,1,PBKS,DY Patil Stadium,03 May 2022
453,Wriddhiman Saha,68,38,178.94,11,1,SRH,Wankhede Stadium,27 April 2022
454,Wriddhiman Saha,67,57,117.54,8,1,CSK,Wankhede Stadium,15 May 2022
455,Jason Holder,11,8,137.5,0,1,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
456,Jason Holder,8,3,266.66,0,1,SRH,DY Patil Stadium,04 April 2022
457,Aiden Markram,21,27,77.77,1,1,RCB,Wankhede Stadium,08 May 2022
458,Aiden Markram,41,27,151.85,4,1,PBKS,DY Patil Stadium,17 April 2022
459,Dwaine Pretorius,8,4,200,0,1,PBKS,Brabourne - CCI,03 April 2022
460,Dwaine Pretorius,22,14,157.14,2,1,MI,DY Patil Stadium,21 April 2022
461,Dwaine Pretorius,13,8,162.5,1,1,RCB,Maharashtra Cricket Association Stadium,04 May 2022
462,Rovman Powell,20,12,166.66,2,1,GT,Maharashtra Cricket Association Stadium,02 April 2022
463,Rovman Powell,8,6,133.33,0,1,KKR,Brabourne - CCI,10 April 2022
464,Romario Shepherd,8,8,100,0,1,LSG,DY Patil Stadium,04 April 2022
465,Bhanuka Rajapaksa,9,5,180,0,1,CSK,Brabourne - CCI,03 April 2022
466,Bhanuka Rajapaksa,40,28,142.85,5,1,GT,DY Patil Stadium,03 May 2022
467,Wanindu Hasaranga,7,3,233.33,0,1,CSK,DY Patil Stadium,12 April 2022
468,Shahbaz Ahmed,17,27,62.96,0,1,RR,Maharashtra Cricket Association Stadium,26 April 2022
469,Shahbaz Ahmed,12,8,150,1,1,RR,Narendra Modi Stadium,27 May 2022
470,Shahbaz Ahmed,32,21,152.38,3,1,DC,Wankhede Stadium,16 April 2022
471,Yashasvi Jaiswal,41,29,141.37,6,1,LSG,Brabourne - CCI,15 May 2022
472,Yashasvi Jaiswal,59,44,134.09,8,1,CSK,Brabourne - CCI,20 May 2022
473,Yashasvi Jaiswal,19,19,100,1,1,DC,DY Patil Stadium,11 May 2022
474,Yashasvi Jaiswal,20,16,125,2,1,SRH,Maharashtra Cricket Association Stadium,29 March 2022
475,Anuj Rawat,21,20,105,2,1,PBKS,DY Patil Stadium,27 March 2022
476,Lalit Yadav,24,21,114.28,1,1,PBKS,DY Patil Stadium,16 May 2022
477,Lalit Yadav,25,22,113.63,2,1,GT,Maharashtra Cricket Association Stadium,02 April 2022
478,Lalit Yadav,22,29,75.86,1,1,KKR,Wankhede Stadium,28 April 2022
479,Mohsin Khan,13,6,216.66,1,1,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
480,Daniel Sams,7,2,350,0,1,DC,Brabourne - CCI,27 March 2022
481,Daniel Sams,6,1,600,0,1,RR,DY Patil Stadium,30 April 2022
482,Daniel Sams,15,11,136.36,0,1,SRH,Wankhede Stadium,17 May 2022
483,Matthew Wade,8,10,80,0,1,RR,Narendra Modi Stadium,29 May 2022
484,Matthew Wade,16,13,123.07,2,1,RCB,Wankhede Stadium,19 May 2022
485,Sean Abbott,7,5,140,0,1,DC,Brabourne - CCI,05 May 2022
486,Ripal Patel,6,3,200,0,1,CSK,DY Patil Stadium,08 May 2022
487,Sheldon Jackson,7,7,100,0,1,SRH,Brabourne - CCI,15 April 2022
488,Venkatesh Iyer,50,41,121.95,6,1,MI,Maharashtra Cricket Association Stadium,06 April 2022
489,Marco Jansen,8,5,160,0,1,GT,Wankhede Stadium,27 April 2022
490,Shahrukh Khan,19,10,190,2,1,SRH,Wankhede Stadium,22 May 2022
491,Rajat Patidar,21,15,140,1,1,CSK,Maharashtra Cricket Association Stadium,04 May 2022
492,Rajat Patidar,16,16,100,0,1,RR,Maharashtra Cricket Association Stadium,26 April 2022
493,Suyash S Prabhudessai,10,9,111.11,0,1,LSG,DY Patil Stadium,19 April 2022
494,Suyash S Prabhudessai,34,18,188.88,5,1,CSK,DY Patil Stadium,12 April 2022
495,Devon Conway,16,14,114.28,1,1,RR,Brabourne - CCI,20 May 2022
496,Dushmantha Chameera,11,4,275,1,1,RCB,Eden Gardens,25 May 2022
497,Maheesh Theekshana,7,4,175,0,1,RCB,Maharashtra Cricket Association Stadium,04 May 2022
498,Tim David,12,8,150,0,1,DC,Brabourne - CCI,27 March 2022
499,Tim David,20,9,222.22,2,1,RR,DY Patil Stadium,30 April 2022
500,Obed McCoy,8,5,160,0,1,GT,Narendra Modi Stadium,29 May 2022
501,Dewald Brevis,31,13,238.46,6,1,LSG,Brabourne - CCI,16 April 2022
502,Odean Smith,9,12,75,0,1,KKR,Wankhede Stadium,01 April 2022
503,Odean Smith,13,15,86.66,0,1,SRH,DY Patil Stadium,17 April 2022
504,Abhinav Manohar,35,21,166.66,5,1,SRH,DY Patil Stadium,11 April 2022
505,Sai Sudharsan,65,50,130,5,1,PBKS,DY Patil Stadium,03 May 2022
506,Sai Sudharsan,35,30,116.66,4,1,PBKS,Brabourne - CCI,08 April 2022
507,Sai Sudharsan,14,11,127.27,1,1,MI,Brabourne - CCI,06 May 2022
508,Ayush Badoni,14,11,127.27,0,1,MI,Wankhede Stadium,24 April 2022
509,Ayush Badoni,10,3,333.33,1,1,DC,DY Patil Stadium,07 April 2022
510,Ramandeep Singh,14,6,233.33,1,1,SRH,Wankhede Stadium,17 May 2022
511,Tilak Varma,21,17,123.52,1,1,DC,Wankhede Stadium,21 May 2022
512,Rishi Dhawan,7,3,233.33,0,1,RCB,Brabourne - CCI,13 May 2022
513,Rishi Dhawan,21,22,95.45,3,1,LSG,Maharashtra Cricket Association Stadium,29 April 2022
514,Jitesh Sharma,19,7,271.42,3,1,SRH,Wankhede Stadium,22 May 2022
