POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
87,Axar Patel,38,17,223.52,2,3,MI,Brabourne - CCI,27 March 2022
88,Axar Patel,42,24,175,1,3,LSG,Wankhede Stadium,01 May 2022
89,David Miller,34,25,136,0,3,RCB,Wankhede Stadium,19 May 2022
90,Nicholas Pooran,38,22,172.72,2,3,MI,Wankhede Stadium,17 May 2022
91,Andre Russell,25,18,138.88,1,3,RCB,DY Patil Stadium,30 March 2022
92,Nitish Rana,30,20,150,0,3,DC,Brabourne - CCI,10 April 2022
93,Nitish Rana,26,16,162.5,1,3,SRH,Maharashtra Cricket Association Stadium,14 May 2022
94,Sunil Narine,21,7,300,0,3,LSG,DY Patil Stadium,18 May 2022
95,Evin Lewis,55,23,239.13,6,3,CSK,Brabourne - CCI,31 March 2022
96,Kieron Pollard,22,5,440,0,3,KKR,Maharashtra Cricket Association Stadium,06 April 2022
97,Quinton De Kock,50,29,172.41,4,3,KKR,Maharashtra Cricket Association Stadium,07 May 2022
98,Jos Buttler,54,24,225,8,3,GT,DY Patil Stadium,14 April 2022
99,Jos Buttler,35,28,125,3,3,SRH,Maharashtra Cricket Association Stadium,29 March 2022
100,Liam Livingstone,30,10,300,2,3,GT,DY Patil Stadium,03 May 2022
101,Rahul Tripathi,76,44,172.72,9,3,MI,Wankhede Stadium,17 May 2022
102,Sanju Samson,27,21,128.57,1,3,RCB,Maharashtra Cricket Association Stadium,26 April 2022
103,Sanju Samson,30,21,142.85,1,3,MI,DY Patil Stadium,02 April 2022
104,Sanju Samson,46,19,242.1,5,3,DC,Wankhede Stadium,22 April 2022
105,Sanju Samson,47,26,180.76,5,3,GT,Eden Gardens,24 May 2022
106,Shashank Singh,25,6,416.66,1,3,GT,Wankhede Stadium,27 April 2022
107,Moeen Ali,93,57,163.15,13,3,RR,Brabourne - CCI,20 May 2022
108,Shimron Hetmyer,35,14,250,3,3,MI,DY Patil Stadium,02 April 2022
109,Shimron Hetmyer,32,13,246.15,2,3,SRH,Maharashtra Cricket Association Stadium,29 March 2022
110,Shivam Dube,57,30,190,6,3,PBKS,Brabourne - CCI,03 April 2022
111,Abhishek Sharma,65,42,154.76,6,3,GT,Wankhede Stadium,27 April 2022
112,Abhishek Sharma,75,50,150,5,3,CSK,DY Patil Stadium,09 April 2022
113,David Warner,92,58,158.62,12,3,SRH,Brabourne - CCI,05 May 2022
114,Deepak Hooda,51,33,154.54,3,3,SRH,DY Patil Stadium,04 April 2022
115,Rashid Khan,40,21,190.47,2,3,CSK,Maharashtra Cricket Association Stadium,17 April 2022
116,Aiden Markram,42,25,168,4,3,DC,Brabourne - CCI,05 May 2022
117,Aiden Markram,32,25,128,0,3,KKR,Maharashtra Cricket Association Stadium,14 May 2022
118,Aiden Markram,56,40,140,2,3,GT,Wankhede Stadium,27 April 2022
119,Rovman Powell,33,16,206.25,1,3,KKR,Wankhede Stadium,28 April 2022
120,Bhanuka Rajapaksa,31,9,344.44,3,3,KKR,Wankhede Stadium,01 April 2022
121,Shahbaz Ahmed,45,26,173.07,4,3,RR,Wankhede Stadium,05 April 2022
122,Shahbaz Ahmed,27,20,135,0,3,KKR,DY Patil Stadium,30 March 2022
123,Rajat Patidar,58,42,138.09,4,3,RR,Narendra Modi Stadium,27 May 2022
124,Dewald Brevis,37,33,112.12,1,3,DC,Wankhede Stadium,21 May 2022
125,Odean Smith,25,8,312.5,1,3,RCB,DY Patil Stadium,27 March 2022
126,Ayush Badoni,54,41,131.7,4,3,GT,Wankhede Stadium,28 March 2022
127,Jitesh Sharma,26,17,152.94,0,3,CSK,Brabourne - CCI,03 April 2022
128,Virat Kohli,73,54,135.18,8,2,GT,Wankhede Stadium,19 May 2022
129,Virat Kohli,41,29,141.37,1,2,PBKS,DY Patil Stadium,27 March 2022
130,Aaron Finch,58,28,207.14,9,2,RR,Brabourne - CCI,18 April 2022
131,Rohit Sharma,28,17,164.7,3,2,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
132,Rohit Sharma,43,28,153.57,5,2,GT,Brabourne - CCI,06 May 2022
133,Rohit Sharma,41,32,128.12,4,2,DC,Brabourne - CCI,27 March 2022
134,Shikhar Dhawan,39,32,121.87,2,2,SRH,Wankhede Stadium,22 May 2022
135,Shikhar Dhawan,88,59,149.15,9,2,CSK,Wankhede Stadium,25 April 2022
136,Shreyas Iyer,54,33,163.63,5,2,DC,Brabourne - CCI,10 April 2022
137,Dinesh Karthik,26,17,152.94,1,2,CSK,Maharashtra Cricket Association Stadium,04 May 2022
138,Krunal Pandya,42,28,150,5,2,RCB,DY Patil Stadium,19 April 2022
139,Rishabh Pant,27,14,192.85,2,2,KKR,Brabourne - CCI,10 April 2022
