POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
63,Rahul Tripathi,58,37,156.75,6,2,RCB,Wankhede Stadium,08 May 2022
64,Sanju Samson,32,24,133.33,6,0,LSG,Brabourne - CCI,15 May 2022
65,Devdutt Padikkal,48,30,160,6,2,DC,DY Patil Stadium,11 May 2022
66,Shivam Dube,57,30,190,6,3,PBKS,Brabourne - CCI,03 April 2022
67,Abhishek Sharma,42,32,131.25,6,0,GT,DY Patil Stadium,11 April 2022
68,Abhishek Sharma,65,42,154.76,6,3,GT,Wankhede Stadium,27 April 2022
69,David Warner,61,45,135.55,6,2,KKR,Brabourne - CCI,10 April 2022
70,Deepak Hooda,52,34,152.94,6,1,DC,Wankhede Stadium,01 May 2022
71,Deepak Hooda,55,41,134.14,6,2,GT,Wankhede Stadium,28 March 2022
72,Wriddhiman Saha,55,40,137.5,6,2,MI,Brabourne - CCI,06 May 2022
73,Aiden Markram,68,36,188.88,6,4,KKR,Brabourne - CCI,15 April 2022
74,Yashasvi Jaiswal,41,29,141.37,6,1,LSG,Brabourne - CCI,15 May 2022
75,Matthew Wade,35,30,116.66,6,0,RR,Eden Gardens,24 May 2022
76,Venkatesh Iyer,50,41,121.95,6,1,MI,Maharashtra Cricket Association Stadium,06 April 2022
77,Devon Conway,56,37,151.35,6,2,RCB,Maharashtra Cricket Association Stadium,04 May 2022
78,Dewald Brevis,31,13,238.46,6,1,LSG,Brabourne - CCI,16 April 2022
79,Virat Kohli,48,36,133.33,5,0,MI,Maharashtra Cricket Association Stadium,09 April 2022
80,Rohit Sharma,39,31,125.8,5,1,LSG,Wankhede Stadium,24 April 2022
81,Rohit Sharma,43,28,153.57,5,2,GT,Brabourne - CCI,06 May 2022
82,Shikhar Dhawan,70,50,140,5,3,MI,Maharashtra Cricket Association Stadium,13 April 2022
83,Shikhar Dhawan,43,29,148.27,5,1,RCB,DY Patil Stadium,27 March 2022
84,Shreyas Iyer,54,33,163.63,5,2,DC,Brabourne - CCI,10 April 2022
85,Shreyas Iyer,26,15,173.33,5,0,PBKS,Wankhede Stadium,01 April 2022
86,Dinesh Karthik,66,34,194.11,5,5,DC,Wankhede Stadium,16 April 2022
87,Dinesh Karthik,37,23,160.86,5,1,LSG,Eden Gardens,25 May 2022
88,Krunal Pandya,42,28,150,5,2,RCB,DY Patil Stadium,19 April 2022
89,Washington Sundar,40,14,285.71,5,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
90,Glenn Maxwell,40,18,222.22,5,2,GT,Wankhede Stadium,19 May 2022
91,Mitchell Marsh,89,62,143.54,5,7,RR,DY Patil Stadium,11 May 2022
92,Prithvi Shaw,37,27,137.03,5,1,RR,Wankhede Stadium,22 April 2022
93,Hardik Pandya,33,28,117.85,5,1,LSG,Wankhede Stadium,28 March 2022
94,Hardik Pandya,40,27,148.14,5,0,RR,Eden Gardens,24 May 2022
95,Hardik Pandya,27,18,150,5,0,PBKS,Brabourne - CCI,08 April 2022
96,Shubman Gill,35,21,166.66,5,1,RR,Eden Gardens,24 May 2022
97,Faf Du Plessis,44,38,115.78,5,0,GT,Wankhede Stadium,19 May 2022
98,Faf Du Plessis,29,20,145,5,0,RR,Wankhede Stadium,05 April 2022
99,Ruturaj Gaikwad,73,48,152.08,5,5,GT,Maharashtra Cricket Association Stadium,17 April 2022
100,Rahul Tewatia,43,25,172,5,2,RCB,Brabourne - CCI,30 April 2022
101,Rahul Tewatia,40,24,166.66,5,2,LSG,Wankhede Stadium,28 March 2022
102,David Miller,31,14,221.42,5,1,RR,DY Patil Stadium,14 April 2022
103,Sarfaraz Khan,32,16,200,5,1,PBKS,DY Patil Stadium,16 May 2022
104,Ishan Kishan,54,43,125.58,5,1,RR,DY Patil Stadium,02 April 2022
105,Ishan Kishan,43,34,126.47,5,1,SRH,Wankhede Stadium,17 May 2022
106,Ishan Kishan,45,29,155.17,5,1,GT,Brabourne - CCI,06 May 2022
107,Ishan Kishan,51,43,118.6,5,1,KKR,DY Patil Stadium,09 May 2022
108,Suryakumar Yadav,68,37,183.78,5,6,RCB,Maharashtra Cricket Association Stadium,09 April 2022
109,Suryakumar Yadav,52,36,144.44,5,2,KKR,Maharashtra Cricket Association Stadium,06 April 2022
110,Suryakumar Yadav,51,39,130.76,5,2,RR,DY Patil Stadium,30 April 2022
111,Jos Buttler,39,35,111.42,5,0,GT,Narendra Modi Stadium,29 May 2022
112,Jos Buttler,30,16,187.5,5,1,PBKS,Wankhede Stadium,07 May 2022
113,Jos Buttler,67,52,128.84,5,4,MI,DY Patil Stadium,30 April 2022
114,Liam Livingstone,60,32,187.5,5,5,CSK,Brabourne - CCI,03 April 2022
115,Liam Livingstone,60,33,181.81,5,4,SRH,DY Patil Stadium,17 April 2022
116,Liam Livingstone,70,42,166.66,5,4,RCB,Brabourne - CCI,13 May 2022
117,Rahul Tripathi,39,15,260,5,2,CSK,DY Patil Stadium,09 April 2022
118,Rahul Tripathi,44,30,146.66,5,1,LSG,DY Patil Stadium,04 April 2022
119,Sanju Samson,47,26,180.76,5,3,GT,Eden Gardens,24 May 2022
120,Sanju Samson,46,19,242.1,5,3,DC,Wankhede Stadium,22 April 2022
121,Devdutt Padikkal,39,18,216.66,5,2,LSG,Brabourne - CCI,15 May 2022
122,Shivam Dube,95,46,206.52,5,8,RCB,DY Patil Stadium,12 April 2022
123,Shivam Dube,49,30,163.33,5,2,LSG,Brabourne - CCI,31 March 2022
124,Abhishek Sharma,43,32,134.37,5,2,PBKS,Wankhede Stadium,22 May 2022
125,Abhishek Sharma,39,24,162.5,5,1,CSK,Maharashtra Cricket Association Stadium,01 May 2022
126,Abhishek Sharma,75,50,150,5,3,CSK,DY Patil Stadium,09 April 2022
127,David Warner,28,14,200,5,1,RR,Wankhede Stadium,22 April 2022
128,David Warner,52,41,126.82,5,1,RR,DY Patil Stadium,11 May 2022
129,Deepak Hooda,59,39,151.28,5,2,RR,Brabourne - CCI,15 May 2022
130,Jonny Bairstow,23,15,153.33,5,0,SRH,Wankhede Stadium,22 May 2022
131,Jonny Bairstow,32,28,114.28,5,0,LSG,Maharashtra Cricket Association Stadium,29 April 2022
132,Aiden Markram,57,41,139.02,5,2,RR,Maharashtra Cricket Association Stadium,29 March 2022
133,Bhanuka Rajapaksa,40,28,142.85,5,1,GT,DY Patil Stadium,03 May 2022
134,Rajat Patidar,52,32,162.5,5,2,GT,Brabourne - CCI,30 April 2022
135,Suyash S Prabhudessai,34,18,188.88,5,1,CSK,DY Patil Stadium,12 April 2022
136,Abhinav Manohar,35,21,166.66,5,1,SRH,DY Patil Stadium,11 April 2022
137,Sai Sudharsan,65,50,130,5,1,PBKS,DY Patil Stadium,03 May 2022
138,Jitesh Sharma,32,23,139.13,5,0,DC,Brabourne - CCI,20 April 2022
139,Rohit Sharma,41,32,128.12,4,2,DC,Brabourne - CCI,27 March 2022
140,Rohit Sharma,26,15,173.33,4,1,RCB,Maharashtra Cricket Association Stadium,09 April 2022
141,Rohit Sharma,18,14,128.57,4,0,CSK,Wankhede Stadium,12 May 2022
142,Shikhar Dhawan,33,24,137.5,4,1,CSK,Brabourne - CCI,03 April 2022
143,Shikhar Dhawan,35,30,116.66,4,0,GT,Brabourne - CCI,08 April 2022
144,Shreyas Iyer,42,37,113.51,4,0,DC,Wankhede Stadium,28 April 2022
145,Shreyas Iyer,50,29,172.41,4,3,LSG,DY Patil Stadium,18 May 2022
146,Rishabh Pant,39,33,118.18,4,1,MI,Wankhede Stadium,21 May 2022
147,Rishabh Pant,21,11,190.9,4,0,CSK,DY Patil Stadium,08 May 2022
148,Rishabh Pant,44,24,183.33,4,2,RR,Wankhede Stadium,22 April 2022
149,K L Rahul,77,51,150.98,4,5,DC,Wankhede Stadium,01 May 2022
150,Pat Cummins,56,15,373.33,4,6,MI,Maharashtra Cricket Association Stadium,06 April 2022
151,Mitchell Marsh,63,48,131.25,4,3,PBKS,DY Patil Stadium,16 May 2022
152,Ravichandran Ashwin,17,9,188.88,4,0,RCB,Maharashtra Cricket Association Stadium,26 April 2022
153,Ravichandran Ashwin,50,38,131.57,4,2,DC,DY Patil Stadium,11 May 2022
154,Prithvi Shaw,38,24,158.33,4,2,MI,Brabourne - CCI,27 March 2022
155,Hardik Pandya,31,27,114.81,4,0,DC,Maharashtra Cricket Association Stadium,02 April 2022
156,Hardik Pandya,24,14,171.42,4,0,MI,Brabourne - CCI,06 May 2022
157,Hardik Pandya,62,47,131.91,4,3,RCB,Wankhede Stadium,19 May 2022
158,Hardik Pandya,50,42,119.04,4,1,SRH,DY Patil Stadium,11 April 2022
159,Hardik Pandya,67,49,136.73,4,2,KKR,DY Patil Stadium,23 April 2022
160,Mayank Agarwal,24,15,160,4,0,DC,Brabourne - CCI,20 April 2022
161,MS Dhoni,36,33,109.09,4,2,MI,Wankhede Stadium,12 May 2022
162,Ambati Rayudu,27,27,100,4,0,SRH,DY Patil Stadium,09 April 2022
163,Ambati Rayudu,46,31,148.38,4,2,GT,Maharashtra Cricket Association Stadium,17 April 2022
164,Tim Seifert,21,14,150,4,0,MI,Brabourne - CCI,27 March 2022
165,Faf Du Plessis,38,22,172.72,4,1,CSK,Maharashtra Cricket Association Stadium,04 May 2022
166,Ruturaj Gaikwad,30,27,111.11,4,0,PBKS,Wankhede Stadium,25 April 2022
167,Ruturaj Gaikwad,53,49,108.16,4,1,GT,Wankhede Stadium,15 May 2022
168,Ruturaj Gaikwad,41,33,124.24,4,1,DC,DY Patil Stadium,08 May 2022
169,Shardul Thakur,22,11,200,4,0,MI,Brabourne - CCI,27 March 2022
170,Kagiso Rabada,25,16,156.25,4,1,KKR,Wankhede Stadium,01 April 2022
171,Rahul Tewatia,40,21,190.47,4,2,SRH,Wankhede Stadium,27 April 2022
172,Rahul Tewatia,22,16,137.5,4,0,LSG,Maharashtra Cricket Association Stadium,10 May 2022
173,David Miller,39,24,162.5,4,1,RCB,Brabourne - CCI,30 April 2022
174,Mandeep Singh,18,16,112.5,4,0,GT,Maharashtra Cricket Association Stadium,02 April 2022
175,Andre Russell,49,25,196,4,4,SRH,Brabourne - CCI,15 April 2022
176,Rinku Singh,35,28,125,4,1,GT,DY Patil Stadium,23 April 2022
177,Robin Uthappa,88,50,176,4,9,RCB,DY Patil Stadium,12 April 2022
178,Ishan Kishan,26,18,144.44,4,1,RR,DY Patil Stadium,30 April 2022
179,Quinton De Kock,50,29,172.41,4,3,KKR,Maharashtra Cricket Association Stadium,07 May 2022
180,Quinton De Kock,46,37,124.32,4,2,PBKS,Maharashtra Cricket Association Stadium,29 April 2022
181,Quinton De Kock,24,13,184.61,4,1,MI,Brabourne - CCI,16 April 2022
182,Rahul Tripathi,34,22,154.54,4,1,PBKS,DY Patil Stadium,17 April 2022
183,Rahul Tripathi,71,37,191.89,4,6,KKR,Brabourne - CCI,15 April 2022
184,Sanju Samson,23,12,191.66,4,0,PBKS,Wankhede Stadium,07 May 2022
185,Devdutt Padikkal,41,29,141.37,4,2,SRH,Maharashtra Cricket Association Stadium,29 March 2022
186,Devdutt Padikkal,29,29,100,4,0,LSG,Wankhede Stadium,10 April 2022
187,Moeen Ali,35,22,159.09,4,2,LSG,Brabourne - CCI,31 March 2022
188,Shimron Hetmyer,42,31,135.48,4,2,RCB,Wankhede Stadium,05 April 2022
189,Abhishek Sharma,43,28,153.57,4,2,KKR,Maharashtra Cricket Association Stadium,14 May 2022
190,David Warner,66,38,173.68,4,5,RCB,Wankhede Stadium,16 April 2022
191,Deepak Hooda,41,27,151.85,4,2,KKR,Maharashtra Cricket Association Stadium,07 May 2022
192,Jonny Bairstow,28,15,186.66,4,1,DC,DY Patil Stadium,16 May 2022
193,Jonny Bairstow,66,29,227.58,4,7,RCB,Brabourne - CCI,13 May 2022
194,Wriddhiman Saha,31,22,140.9,4,1,RCB,Wankhede Stadium,19 May 2022
195,Wriddhiman Saha,29,22,131.81,4,0,RCB,Brabourne - CCI,30 April 2022
196,Aiden Markram,42,25,168,4,3,DC,Brabourne - CCI,05 May 2022
197,Aiden Markram,41,27,151.85,4,1,PBKS,DY Patil Stadium,17 April 2022
198,Shahbaz Ahmed,45,26,173.07,4,3,RR,Wankhede Stadium,05 April 2022
199,Shahbaz Ahmed,41,27,151.85,4,0,CSK,DY Patil Stadium,12 April 2022
200,Priyam Garg,42,26,161.53,4,2,MI,Wankhede Stadium,17 May 2022
201,Anuj Rawat,26,25,104,4,0,RR,Wankhede Stadium,05 April 2022
202,Lalit Yadav,48,38,126.31,4,2,MI,Brabourne - CCI,27 March 2022
203,Matthew Wade,30,29,103.44,4,0,LSG,Wankhede Stadium,28 March 2022
204,Rajat Patidar,58,42,138.09,4,3,RR,Narendra Modi Stadium,27 May 2022
205,Rajat Patidar,48,38,126.31,4,2,SRH,Wankhede Stadium,08 May 2022
206,Dewald Brevis,49,25,196,4,5,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
207,Abhinav Manohar,43,28,153.57,4,2,RR,DY Patil Stadium,14 April 2022
208,Sai Sudharsan,35,30,116.66,4,1,PBKS,Brabourne - CCI,08 April 2022
209,Ayush Badoni,54,41,131.7,4,3,GT,Wankhede Stadium,28 March 2022
210,Tilak Varma,34,32,106.25,4,0,CSK,Wankhede Stadium,12 May 2022
211,Jitesh Sharma,38,18,211.11,4,2,RR,Wankhede Stadium,07 May 2022
212,Virat Kohli,30,33,90.9,3,1,CSK,Maharashtra Cricket Association Stadium,04 May 2022
213,Rohit Sharma,28,17,164.7,3,2,PBKS,Maharashtra Cricket Association Stadium,13 April 2022
214,Shikhar Dhawan,19,16,118.75,3,0,DC,DY Patil Stadium,16 May 2022
215,Shreyas Iyer,28,25,112,3,0,SRH,Brabourne - CCI,15 April 2022
216,Shreyas Iyer,34,32,106.25,3,1,RR,Wankhede Stadium,02 May 2022
217,Dinesh Karthik,32,14,228.57,3,3,PBKS,DY Patil Stadium,27 March 2022
218,Krunal Pandya,21,13,161.53,3,0,GT,Wankhede Stadium,28 March 2022
219,Rishabh Pant,34,17,200,3,2,RCB,Wankhede Stadium,16 April 2022
